stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,bt_id
0511,0511,PENLAND PKWY & BRAGAW WNW,61.216019,-149.810677,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1800,1800
0513,0513,PENLAND PKWY & KIDS CT WNW,61.215584,-149.818406,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1801,1801
0514,0514,PENLAND PKWY & PAUL LALONE N,61.215543,-149.821331,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1802,1802
0517,0517,ALASKA REGIONAL HOSPITAL N,61.210245,-149.82623,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1804,1804
0518,0518,DEBARR & ALASKA REGIONAL DR WNW,61.209447,-149.831827,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1805,1805
0519,0519,15TH AVENUE & LAKE OTIS WNW,61.207836,-149.839462,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1806,1806
0522,0522,MEDFRA & 16TH AVENUE SSW,61.205965,-149.858705,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1807,1807
0524,0524,ORCA & 19TH AVENUE NNW,61.204076,-149.855264,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1808,1808
0525,0525,CHUGACH MANOR,61.203517,-149.858462,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1809,1809
0526,0526,KARLUK & 19TH AVENUE NNE,61.204304,-149.861335,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1810,1810
0527,0527,MEDFRA & 16TH AVENUE NNE,61.206623,-149.858703,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1811,1811
0528,0528,MEDFRA & 14TH AVENUE SSE,61.208605,-149.858675,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1812,1812
0529,0529,MEDFRA & 12TH AVENUE NNE,61.210945,-149.858688,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1813,1813
0530,0530,LATOUCHE & 10TH AVENUE NNE,61.212846,-149.860645,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1814,1814
0531,0531,9TH AVENUE & KARLUK ENE,61.21369,-149.861644,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1815,1815
0532,0532,9TH AVENUE & INGRA WNW,61.213714,-149.867725,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1816,1816
0535,0535,CORDOVA & 8TH AVENUE SSE,61.21454,-149.87905,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1817,1817
0550,0550,CORDOVA & 11TH AVENUE SSW,61.211371,-149.879329,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1819,1819
0552,0552,13TH AVENUE & EAGLE ESE,61.209609,-149.87439,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1821,1821
0554,0554,15TH AVENUE & GAMBELL ESE,61.207585,-149.869659,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1823,1823
0555,0555,15TH AVENUE & INGRA ESE,61.207623,-149.865505,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1824,1824
0556,0556,15TH AVENUE & KARLUK ESE,61.207569,-149.862212,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1825,1825
0558,0558,15TH AVENUE & ORCA ESE,61.207588,-149.854073,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1826,1826
0559,0559,15TH AVENUE & SITKA ESE,61.207632,-149.844498,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1827,1827
0577,0577,ELMORE & SHARON GAGNON SSW,61.18492,-149.809055,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1835,1835
